"source","context","target"
"Allows maps to render with more detail","","يسمح بعرض الخرائط بمزيد من التفاصيل"
"Show FPS","","إظهار FPS"
"Renders your frame rate in the top right","","يعرض معدل الإطارات الخاص بك في أعلى اليمين"
"Renderer","","عارض"
"default","","افتراضي"
"custom","","مخصص"
"Graphics card","","بطاقة الرسومات"
"auto","","تلقائي"
"Tee","","تي"
"Appearance","","المظهر"
"Name Plate","","لوحة الاسم"
"Hook Collisions","","تصادمات الخطاف"
"Info Messages","","رسائل المعلومات"
"Show health, shields and ammo","","إظهار الصحة، والدروع والذخيرة"
"Show local time always","","إظهار الوقت المحلي دائماً"
"Show spectator cursor","","إظهار مؤشر المشاهد"
"Authed name color in scoreboard","","لون الاسم المصادق عليه في لوحة النتائج"
"Same clan color in scoreboard","","نفس لون الكلان في لوحة النتائج"
"DDRace HUD","","واجهة DDRace"
"Show client IDs (scoreboard, chat, spectator)","","إظهار معرّفات العملاء (لوحة النتائج، الدردشة، المشاهد)"
"Show DDRace HUD","","إظهار واجهة DDRace"
"Show jumps indicator","","إظهار مؤشر القفزات"
"Show number of spectators","","إظهار عدد المشاهدين"
"Show dummy actions","","إظهار إجراءات الدمية"
"Show player position","","إظهار موضع اللاعب"
"Show player speed","","إظهار سرعة اللاعب"
"Show player target angle","","إظهار زاوية هدف اللاعب"
"Show freeze bars","","إظهار أشرطة التجميد"
"Opacity of freeze bars inside freeze","","الشفافية"
"Always show chat","","إظهار الدردشة دائماً"
"Show only chat messages from team members","","إظهار رسائل الدردشة من أعضاء الفريق فقط"
"Censor profanity","","مراقبة الألفاظ النابية"
"Chat font size","","حجم خط الدردشة"
"Chat width","","عرض الدردشة"
"Chat background color","","لون خلفية الدردشة"
"None","Show name plates","لا شيء"
"Own","Show name plates","الخاص بك"
"Others","Show name plates","الآخرين"
"All","Show name plates","الكل"
"Name plates offset","","إزاحة لوحات الأسماء"
"Show friend icon in name plates","","إظهار أيقونة الصديق في لوحات الأسماء"
"Show client IDs in name plates","","إظهار معرّفات العملاء في لوحات الأسماء"
"Show client IDs on a separate line","","إظهار معرّفات العملاء في سطر منفصل"
"Client IDs size","","حجم معرّفات العملاء"
"Hook Strength","","قوة الخطاف"
"Show hook strength icon indicator","","إظهار مؤشر أيقونة قوة الخطاف"
"Show hook strength number indicator","","إظهار مؤشر رقم قوة الخطاف"
"Size of hook strength icon and number indicator","","حجم أيقونة قوة الخطاف ومؤشر الرقم"
"Key Presses","","ضغطات المفاتيح"
"Show players' key presses","","إظهار ضغطات مفاتيح اللاعبين"
"None","Show players' key presses","لا شيء"
"Own","Show players' key presses","الخاص بك"
"Others","Show players' key presses","الآخرين"
"All","Show players' key presses","الكل"
"Size of key press icons","","حجم أيقونات ضغطات المفاتيح"
"Preview player's name plate","","معاينة لوحة اسم اللاعب"
"Preview dummy's name plate","","معاينة لوحة اسم الدمية"
"Hook collision line","","خط تصادم الخطاف"
"Show own player's hook collision line","","إظهار خط تصادم الخطاف الخاص باللاعب"
"Always show own player's hook collision line","","إظهار خط تصادم الخطاف الخاص باللاعب دائماً"
"Always show other players' hook collision lines","","إظهار خطوط تصادم الخطاف للاعبين الآخرين دائماً"
"Width of your own hook collision line","","عرض خط تصادم الخطاف الخاص بك"
"Width of others' hook collision line","","عرض خط تصادم الخطاف للآخرين"
"Hook collision line opacity","","شفافية خط تصادم الخطاف"
"Colors of the hook collision line:","","ألوان خط تصادم الخطاف:"
"Your movements are not taken into account when calculating the line colors","","لا تؤخذ تحركاتك في الاعتبار عند حساب ألوان الخط"
"When nothing is hookable","Hook collision line color","عندما لا يمكن خطف شيء"
"When something is hookable","Hook collision line color","عندما يمكن خطف شيء"
"When a Tee is hookable","Hook collision line color","عندما يمكن خطف تي"
"Hook collision line tip","Hook collision line color","تلميح خط تصادم الخطاف"
"Preview 'Hook collisions' being pressed","","معاينة الضغط على 'تصادمات الخطاف'"
"Show finish messages","","إظهار رسائل الإنهاء"
"Normal Color","","اللون العادي"
"Highlight Color","","لون التمييز"
"Weapons","","الأسلحة"
"Rifle Laser Outline Color","","لون إطار ليزر البندقية"
"Rifle Laser Inner Color","","اللون الداخلي لليزر البندقية"
"Shotgun Laser Outline Color","","لون إطار ليزر الشوزن"
"Shotgun Laser Inner Color","","اللون الداخلي لليزر الشوزن"
"Door Laser Outline Color","","لون إطار ليزر الباب"
"Door Laser Inner Color","","اللون الداخلي لليزر الباب"
"Freeze Laser Outline Color","","لون إطار ليزر التجميد"
"Freeze Laser Inner Color","","اللون الداخلي لليزر التجميد"
"Dragger Outline Color","","لون إطار الساحب"
"Dragger Inner Color","","اللون الداخلي للساحب"
"Set all to Rifle","","تعيين الكل إلى البندقية"
"Enable ghost","","تفعيل الشبح"
"When you cross the start line, show a ghost tee replicating the movements of your best time","","عند عبور خط البداية، أظهر شبح تي يحاكي حركات أفضل وقت لك"
"Opacity","","الشفافية"
"Only save improvements","","حفظ التحسينات فقط"
"Adjust the opacity of entities belonging to other teams, such as tees and name plates","","اضبط شفافية الكيانات التابعة للفرق الأخرى، مثل التيز ولوحات الأسماء"
"Show background quads","","إظهار Quads الخلفية"
"Quads are used for background decoration","","الزينة"
"Prediction margin","","هامش التنبؤ"
"Predict events (experimental)","","توقع الأحداث (تجريبي)"
"Tries to predict other entities to give a feel of low latency","","يحاول التنبؤ بالكيانات الأخرى لإعطاء شعور بانخفاض زمن الوصول"
"Background","","الخلفية"
"Regular background color","","لون الخلفية العادي"
"Entities background color","","لون خلفية الكيانات"
"Run on join","","التشغيل عند الانضمام"
"Chat command (e.g. showall 1)","","أمر الدردشة (مثل showall 1)"
"Unregister protocol and file extensions","","إلغاء تسجيل البروتوكول وامتدادات الملفات"
"DDNet %s is available:","","DDNet %s متاح:"
"Basic","","أساسي"
"Custom","","مخصص"
"Are you sure that you want to delete '%s'?","","هل أنت متأكد أنك تريد حذف '%s'؟"
"Delete skin","","حذف الشكل"
"Unable to delete skin","","غير قادر على حذف الشكل"
"Extras","","إضافات"
"Loading assets","","تحميل الأصول"
"Open the directory to add custom assets","","افتح المجلد لإضافة أصول مخصصة"
"Chat command","","أمر الدردشة"
"Scoreboard cursor","","مؤشر لوحة النتائج"
"Reset controls","","إعادة ضبط أزرار التحكم"
"Are you sure that you want to reset the controls to their defaults?","","هل أنت متأكد أنك تريد إعادة ضبط أزرار التحكم إلى الوضع الافتراضي؟"
"Mouse","","فأرة"
"Controller","","وحدة تحكم"
"Ingame mouse sens.","","حساسية الفأرة في اللعبة."
"UI mouse sens.","","حساسية الفأرة في واجهة المستخدم."
"Enable controller","","وحدة التحكم"
"Ingame controller mode","","وضع وحدة التحكم في اللعبة"
"Relative","Ingame controller mode","نسبي"
"Absolute","Ingame controller mode","مطلق"
"Ingame controller sens.","","حساسية وحدة التحكم في اللعبة."
"UI controller sens.","","حساسية وحدة التحكم في واجهة المستخدم."
"Controller jitter tolerance","","تسامح اهتزاز وحدة التحكم"
"No controller found. Plug in a controller.","","لم يتم العثور على وحدة تحكم. قم بتوصيل وحدة تحكم."
"Axis","","محور"
"Status","","الحالة"
"Aim bind","","ربط التصويب"
"Discord","","ديسكورد"
"https://ddnet.org/discord","","https://ddnet.org/discord"
"Tutorial","","برنامج تعليمي"
"Download","","تنزيل"
"Loading race demo files","","تحميل ملفات ديمو السباق"
"%d others…","Spectators","%d آخرون…"
"Super","","خارق"
"%d\n(%d/%d)","Team and size","%d\n(%d/%d)"
"Team %d (%d/%d)","","فريق %d (%d/%d)"
"Unmute","","إلغاء الكتم"
"Mute","","كتم"
"Unmute emoticons","","كتم الرموز التعبيرية"
"Mute emoticons","","كتم الرموز التعبيرية"
"Body","skins","الجسم"
"Marking","skins","العلامة"
"Decoration","skins","زينة"
"Hands","skins","اليدان"
"Feet","skins","القدمين"
"Eyes","skins","العيون"
"Loading sound files","","تحميل ملفات الصوت"
"Aim","","التصويب"
"Active: Fire","","نشط: إطلاق"
"Active: Hook","","نشط: خطاف"
"Moved ingame","","تم النقل داخل اللعبة"
"https://wiki.ddnet.org/wiki/Mapping","","https://wiki.ddnet.org/wiki/Mapping"
